Domain Type,Agency,Organization,routeable_url,subdomain,domain,tld
Federal Agency - Executive,Administrative Conference of the United States,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,https://www.acus.gov/,,acus,gov
Federal Agency - Executive,American Battle Monuments Commission,American Battle Monuments Commission,https://www.abmc.gov/,,abmc,gov
Federal Agency - Executive,AMTRAK,Amtrak Office of Inspector General,https://amtrakoig.gov/,,amtrakoig,gov
Federal Agency - Executive,Appalachian Regional Commission,ARC,https://www.arc.gov/,,arc,gov
Federal Agency - Executive,Appraisal Subcommittee,Appraisal Subcommittee,https://www.asc.gov/Home.aspx,,asc,gov
Federal Agency - Executive,Broadcasting Board of Governors,Broadcasting Board of Governors,https://www.usagm.gov/,,usagm,gov
Federal Agency - Executive,Broadcasting Board of Governors,Broadcasting Board of Governors,https://www.voanews.com/,,voanews,com
Federal Agency - Executive,Central Intelligence Agency,Central Intelligence Agency,https://www.cia.gov/index.html,,cia,gov
Federal Agency - Executive,Central Intelligence Agency,National Counterterrorism Center,https://www.dni.gov/index.php/nctc-home,,dni,gov
Federal Agency - Executive,Chemical Safety Board,U.S. Chemical Safety and Hazard Investigation Board,https://www.csb.gov/,,csb,gov
Federal Agency - Executive,Civil Air Patrol,"CIVIL AIR PATROL, USAF AUX.",https://www.gocivilairpatrol.com/,,gocivilairpatrol,com
Federal Agency - Executive,Civil Air Patrol,Civil Air Patrol,https://capnhq.gov/Default.aspx?ReturnUrl=%2f,,capnhq,gov
Federal Agency - Executive,Commodity Futures Trading Commission,U.S. Commodity Futures Trading Commission,https://cftc.gov/,,cftc,gov
Federal Agency - Executive,Commodity Futures Trading Commission,U.S. Commodity Futures Trading Commission,https://whistleblower.gov/,,whistleblower,gov
Federal Agency - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,https://www.consumerfinance.gov/,,consumerfinance,gov
Federal Agency - Executive,Consumer Financial Protection Bureau,CFPB,https://www.mimm.gov/,,mimm,gov
Federal Agency - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,https://anchorit.gov/,,anchorit,gov
Federal Agency - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/ATV-Safety-Information-Center/,,cpsc,gov
Federal Agency - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,https://www.poolsafely.gov,,poolsafely,gov
Federal Agency - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,https://recalls.gov/,,recalls,gov
Federal Agency - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,https://www.saferproducts.gov,,saferproducts,gov
Federal Agency - Executive,Corporation for National and Community Service,Corporation for National & Community Service,https://www.nationalservice.gov/programs/americorps,,nationalservice,gov
Federal Agency - Executive,Corporation for National and Community Service,Corporation for National & Community Service,https://vistacampus.gov/,,vistacampus,gov
Federal Agency - Executive,Corporation for National and Community Service,Office Of Inspector General,http://www.cncsoig.gov/,,cncsoig,gov
Federal Agency - Executive,Council of Inspectors General on Integrity and Efficiency,Council of Inspectors General on Integrity and Efficiency,https://ignet.gov/,,ignet,gov
Federal Agency - Executive,Council of Inspectors General on Integrity and Efficiency,Council of Inspectors General on Integrity and Efficiency,https://oversight.gov/,,oversight,gov
Federal Agency - Executive,Court Services and Offender Supervision,Court Services and Offender Supervision,https://www.csosa.gov/,,csosa,gov
Federal Agency - Executive,Court Services and Offender Supervision,Pretrial Services Agency for the District of Columbia,https://pretrialservices.gov/,,pretrialservices,gov
Federal Agency - Executive,Court Services and Offender Supervision,Court Services and Offender Supervision Agency,https://psa.gov/,,psa,gov
Federal Agency - Executive,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,https://www.dnfsb.gov/,,dnfsb,gov
Federal Agency - Executive,Delta Regional Authority,Delta Regional Authority,https://dra.gov/,,dra,gov
Federal Agency - Executive,Denali Commission,Denali Commission,https://www.denali.gov/,,denali,gov
Federal Agency - Executive,Denali Commission,Alaska Federal Executive Association,https://fea.gov/,,fea,gov
Federal Agency - Executive,Department of Commerce,U.S. Census Bureau,https://2020census.gov/,,2020census,gov
Federal Agency - Executive,Department of Commerce,TCD / BIS / Dept of Commerce,https://www.bis.doc.gov/index.php/other-areas/additional-protocol-ap,bis,doc,gov
Federal Agency - Executive,Department of Commerce,National Weather Service,https://aviationweather.gov/,,aviationweather,gov
Federal Agency - Executive,Department of Commerce,Bureau of Economic Analysis,https://www.bea.gov/,,bea,gov
Federal Agency - Executive,Department of Commerce,International Trade Administration,https://www.buyusa.gov/,,buyusa,gov
Federal Agency - Executive,Department of Commerce,U.S. Census Bureau,https://www.census.gov/,,census,gov
Federal Agency - Executive,Department of Commerce,U.S. Census Bureau,https://cep.gov/,,cep,gov
Federal Agency - Executive,Department of Commerce,NWS/OPS33,https://climate.gov/,,climate,gov
Federal Agency - Executive,Department of Commerce,Depatment of Commerce,https://www.commerce.gov/,,commerce,gov
Federal Agency - Executive,Department of Commerce,National Institute of Standards & Technology,https://dnsops.gov/,,dnsops,gov
Federal Agency - Executive,Department of Commerce,NOAA National Climatic Data Center,https://www.drought.gov/drought/,,drought,gov
Federal Agency - Executive,Department of Commerce,Office of Weather and Air Quality,https://earthsystemprediction.gov/,,earthsystemprediction,gov
Federal Agency - Executive,Department of Commerce,Economic Development Administration,https://eda.gov/,,eda,gov
Federal Agency - Executive,Department of Commerce,International Trade Administration,https://www.trade.gov/export-solutions,,trade,gov
Federal Agency - Executive,Department of Commerce,National Telecommunications and Information Administration,https://firstnet.gov/,,firstnet,gov
Federal Agency - Executive,Department of Commerce,NOAA Fisheries,https://www.fishwatch.gov/,,fishwatch,gov
Federal Agency - Executive,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,https://goes-r.gov/,,goes-r,gov
Federal Agency - Executive,Department of Commerce,National Executive Committee for Space-Based PNT,https://www.gps.gov/,,gps,gov
Federal Agency - Executive,Department of Commerce,US Census Bureau,https://www.luca-appeals.gov/,,luca-appeals,gov
Federal Agency - Executive,Department of Commerce,National Institute of Standards & Technology,https://www.manufacturing.gov/,,manufacturing,gov
Federal Agency - Executive,Department of Commerce,Minority Business Development Agency,https://www.mbda.gov/,,mbda,gov
Federal Agency - Executive,Department of Commerce,National Institute of Standards & Technology,https://mgi.gov/,,mgi,gov
Federal Agency - Executive,Department of Commerce,National Institute of Standards & Technology,https://nehrp.gov/,,nehrp,gov
Federal Agency - Executive,Department of Commerce,National Institute of Standards & Technology,https://www.nist.gov/,,nist,gov
Federal Agency - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,https://www.noaa.gov/,,noaa,gov
Federal Agency - Executive,Department of Commerce,National Telecommunications and Information Administration,https://www.ntia.gov/,,ntia,gov
Federal Agency - Executive,Department of Commerce,National Technical Information Service,https://ntis.gov/,,ntis,gov
Federal Agency - Executive,Department of Commerce,Office of the Federal Coordinator for Meteorolgy,https://www.ofcm.gov/,,ofcm,gov
Federal Agency - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,https://www.papahanaumokuakea.gov/,,papahanaumokuakea,gov
Federal Agency - Executive,Department of Commerce,International Trade Administration,https://www.privacyshield.gov/welcome,,privacyshield,gov
Federal Agency - Executive,Department of Commerce,National Science and Technology Council,https://www.sdr.gov/,,sdr,gov
Federal Agency - Executive,Department of Commerce,Department of Commerce,https://www.selectusa.gov/welcome,,selectusa,gov
Federal Agency - Executive,Department of Commerce,National Telecommunications and Information Administration,https://www.ntia.doc.gov/other-publication/2017/federal-government-spectrum-compendium,ntia,doc,gov
Federal Agency - Executive,Department of Commerce,International Trade Administration,https://www.stopfakes.gov/welcome,,stopfakes,gov
Federal Agency - Executive,Department of Commerce,NOAA/Space Weather Prediction Center,https://www.sworm.gov/,,sworm,gov
Federal Agency - Executive,Department of Commerce,National Institute of Standards & Technology,https://time.gov/,,time,gov
Federal Agency - Executive,Department of Commerce,West Coast & Alaska Tsunami Warning Center,https://tsunami.gov/,,tsunami,gov
Federal Agency - Executive,Department of Commerce,Patent and Trademark Office,https://www.uspto.gov/,,uspto,gov
Federal Agency - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,https://www.weather.gov/,,weather,gov
Federal Agency - Executive,Department of Defense,Advanced Distributed Learning Initiative,https://adlnet.gov/,,adlnet,gov
Federal Agency - Executive,Department of Defense,Multijurisdictional Counterdrug Task Force Training Program,https://mctft.org/portfolio-item/ctoc/,,mctft,org
Federal Agency - Executive,Department of Defense,Combating Terrorism Technical Support Office,https://cttso.gov/,,cttso,gov
Federal Agency - Executive,Department of Defense,Defense Media Activity,https://www.defense.gov/,,defense,gov
Federal Agency - Executive,Department of Defense,Federal Voting Assistance Program,https://www.fvap.gov/,,fvap,gov
Federal Agency - Executive,Department of Defense,Mojave Desert Ecosystem Program,https://mojavedata.gov/,,mojavedata,gov
Federal Agency - Executive,Department of Defense,Office Of Warrior Care Policy,https://nationalresourcedirectory.gov/,,nationalresourcedirectory,gov
Federal Agency - Executive,Department of Defense,Office Of Warrior Care Policy,https://nrd.gov/,,nrd,gov
Federal Agency - Executive,Department of Defense,National Reconnaissance Office,https://www.nro.gov/,,nro,gov
Federal Agency - Executive,Department of Defense,National Security Agency,https://www.nsa.gov/,,nsa,gov
Federal Agency - Executive,Department of Defense,National Security Education Program (NSEP) at DLNSEO,https://nsep.gov/,,nsep,gov
Federal Agency - Executive,Department of Defense,Office of Economic Adjustment,https://oea.gov/,,oea,gov
Federal Agency - Executive,Department of Defense,Defense Intelligence Agency,https://www.siteidiq.gov/,,siteidiq,gov
Federal Agency - Executive,Department of Defense,Technical Support Working Group,https://www.tswg.gov/,,tswg,gov
Federal Agency - Executive,Department of Education,Department of Education,https://budgetlob.max.gov/,budgetlob,max,gov
Federal Agency - Executive,Department of Education,Department of Education,https://www.childstats.gov/,,childstats,gov
Federal Agency - Executive,Department of Education,Department of Education,https://nces.ed.gov/collegenavigator/,nces,ed,gov
Federal Agency - Executive,Department of Education,Department of Education,https://www.ed.gov/,,ed,gov
Federal Agency - Executive,Department of Education,Department of Education,https://g5.gov/,,g5,gov
Federal Agency - Executive,Department of Education,Department of Education,https://www.nagb.gov/,,nagb,gov
Federal Agency - Executive,Department of Education,Department of Education,https://www.nationsreportcard.gov/,,nationsreportcard,gov
Federal Agency - Executive,Department of Energy,Ames Laboratory,https://www.ameslab.gov/,,ameslab,gov
Federal Agency - Executive,Department of Energy,Argonne National Laboratory,https://www.anl.gov/,,anl,gov
Federal Agency - Executive,Department of Energy,Battelle Pacific Northwest National Laboratory,https://arm.gov/,,arm,gov
Federal Agency - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,https://biomassboard.gov/,,biomassboard,gov
Federal Agency - Executive,Department of Energy,Brookhaven National Laboratory,https://www.bnl.gov/world/,,bnl,gov
Federal Agency - Executive,Department of Energy,Bonneville Power Administration,https://www.bpa.gov/Pages/home.aspx,,bpa,gov
Federal Agency - Executive,Department of Energy,Oak Ridge National Laboratory,https://casl.gov/,,casl,gov
Federal Agency - Executive,Department of Energy,Office of the Chief Information Officer,https://www.energy.gov/,,energy,gov
Federal Agency - Executive,Department of Energy,Department of Energy Bulding Energy Codes Program,https://www.energycodes.gov/,,energycodes,gov
Federal Agency - Executive,Department of Energy,Fermi National Accelerator Laboratory,https://fnal.gov/,,fnal,gov
Federal Agency - Executive,Department of Energy,Oak Ridge National Laboratory,https://fueleconomy.gov/,,fueleconomy,gov
Federal Agency - Executive,Department of Energy,"Mission Support Alliance, LLC",https://www.hanford.gov/,,hanford,gov
Federal Agency - Executive,Department of Energy,Research and Special Programs Administration / Volpe,https://hydrogen.gov/,,hydrogen,gov
Federal Agency - Executive,Department of Energy,Idaho National Laboratory,https://inl.gov/,,inl,gov
Federal Agency - Executive,Department of Energy,The National Isotope Development Center,https://isotopes.gov/,,isotopes,gov
Federal Agency - Executive,Department of Energy,Los Alamos National Laboratory,https://lanl.gov/,,lanl,gov
Federal Agency - Executive,Department of Energy,Lawrence Livermore National Laboratory,https://www.llnl.gov/,,llnl,gov
Federal Agency - Executive,Department of Energy,Oak Ridge National Laboratory,https://www.olcf.ornl.gov/,olcf,ornl,gov
Federal Agency - Executive,Department of Energy,National Renewable Energy Laboratory,https://www.nrel.gov/,,nrel,gov
Federal Agency - Executive,Department of Energy,Oak Ridge National Laboratory,https://www.ornl.gov/transportation,,ornl,gov
Federal Agency - Executive,Department of Energy,Oak Ridge Associated Universities,https://orise.orau.gov/index.html,orise,orau,gov
Federal Agency - Executive,Department of Energy,Office of Scientific and Technical Information,https://www.osti.gov/,,osti,gov
Federal Agency - Executive,Department of Energy,Pacific Northwest National Laboratory,https://www.pnnl.gov,,pnnl,gov
Federal Agency - Executive,Department of Energy,Bonneville Power Administration,https://www.salmonrecovery.gov/,,salmonrecovery,gov
Federal Agency - Executive,Department of Energy,Sandia National Laboratories,https://sandia.gov/,,sandia,gov
Federal Agency - Executive,Department of Energy,Oak Ridge National Laboratory,https://scidac.gov/,,scidac,gov
Federal Agency - Executive,Department of Energy,Office of Scientific and Technical Information,https://www.science.gov/,,science,gov
Federal Agency - Executive,Department of Energy,Office of Electricity Delivery and Energy Reliability,https://smartgrid.gov/,,smartgrid,gov
Federal Agency - Executive,Department of Energy,Oak Ridge National Laboratory,https://sns.gov/,,sns,gov
Federal Agency - Executive,Department of Energy,Office of Energy Efficiency &  Renewable Energy,https://www.solardecathlon.gov/,,solardecathlon,gov
Federal Agency - Executive,Department of Energy,Savannah River Nuclear Solutions (SRNS),https://www.srs.gov/,,srs,gov
Federal Agency - Executive,Department of Health and Human Services,Administration for Community Living,https://acl.gov/,,acl,gov
Federal Agency - Executive,Department of Health and Human Services,Department of Health and Human Services,https://www.hhs.gov/aging/index.html,,hhs,gov
Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,https://agingstats.gov/,,agingstats,gov
Federal Agency - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,https://www.ahrq.gov/,,ahrq,gov
Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,https://www.hiv.gov/,,hiv,gov
Federal Agency - Executive,Department of Health and Human Services,"National Institute on Aging, National Institutes of Health",https://www.alzheimers.gov/,,alzheimers,gov
Federal Agency - Executive,Department of Health and Human Services,Department of Health and Human Services,https://betobaccofree.hhs.gov/,betobaccofree,hhs,gov
Federal Agency - Executive,Department of Health and Human Services,"National Institute on Aging, National Institutes of Health",https://www.nia.nih.gov/health/cognitive-health,nia,nih,gov
Federal Agency - Executive,Department of Health and Human Services,National Cancer Institute,https://www.cancer.gov/,,cancer,gov
Federal Agency - Executive,Department of Health and Human Services,Centers For Disease Control and Prevention,https://www.cdc.gov/,,cdc,gov
Federal Agency - Executive,Department of Health and Human Services,Administration for Children and Families,https://childcare.gov/,,childcare,gov
Federal Agency - Executive,Department of Health and Human Services,National Library of Medicine,https://clinicaltrials.gov/,,clinicaltrials,gov
Federal Agency - Executive,Department of Health and Human Services,Centers for Medicare & Medicaid Services,https://www.cms.gov/,,cms,gov
Federal Agency - Executive,Department of Health and Human Services,National Institute on Alcohol Abuse and Alcoholism,https://www.collegedrinkingprevention.gov/,,collegedrinkingprevention,gov
Federal Agency - Executive,Department of Health and Human Services,Centers for Medicare & Medicaid Services,https://www.cuidadodesalud.gov/es/,,cuidadodesalud,gov
Federal Agency - Executive,Department of Health and Human Services,National Library of Medicine,https://docline.gov/docline/needs_authentication/?next=/docline/,,docline,gov
Federal Agency - Executive,Department of Health and Human Services,Health Resources and Services Administration,https://donaciondeorganos.gov/,,donaciondeorganos,gov
Federal Agency - Executive,Department of Health and Human Services,National Institute on Drug Abuse,https://www.drugabuse.gov/,,drugabuse,gov
Federal Agency - Executive,Department of Health and Human Services,National Institutes of Health,https://public.era.nih.gov/iedison/public/login.do?TARGET=https%3A%2F%2Fpublic.era.nih.gov%2Fiedison%2Finit.do,public.era,nih,gov
Federal Agency - Executive,Department of Health and Human Services,"Health and Human Services, Administration on Aging",https://www.eldercare.gov/,,eldercare,gov
Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,https://endingthedocumentgame.gov/,,endingthedocumentgame,gov
Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,https://everytrycounts.betobaccofree.hhs.gov/,everytrycounts.betobaccofree,hhs,gov
Federal Agency - Executive,Department of Health and Human Services,Department of Health and Human Services,https://fatherhood.gov/,,fatherhood,gov
Federal Agency - Executive,Department of Health and Human Services,U.S. Food and Drug Administration,https://www.fda.gov/,,fda,gov
Federal Agency - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,https://findtreatment.gov/,,findtreatment,gov
Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,https://www.foodsafety.gov/,,foodsafety,gov
Federal Agency - Executive,Department of Health and Human Services,Department of Health and Human Services,https://freshempire.betobaccofree.hhs.gov/,freshempire.betobaccofree,hhs,gov
Federal Agency - Executive,Department of Health and Human Services,National Institutes of Health,https://www.genome.gov/,,genome,gov
Federal Agency - Executive,Department of Health and Human Services,"Office of Public Health and Science, Office on Women's Health",https://www.girlshealth.gov/,,girlshealth,gov
Federal Agency - Executive,Department of Health and Human Services,Department of Health and Human Services,https://www.grants.gov/,,grants,gov
Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,https://grantsolutions.gov/,,grantsolutions,gov
Federal Agency - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,https://www.healthcare.gov/,,healthcare,gov
Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,https://health.gov/,,health,gov
Federal Agency - Executive,Department of Health and Human Services,Office of the Secretary,https://healthdata.gov/,,healthdata,gov
Federal Agency - Executive,Department of Health and Human Services,Office of the National Coordinator,https://www.healthit.gov/,,healthit,gov
Federal Agency - Executive,Department of Health and Human Services,Office of Disease Prevention and Health Promotion,https://www.healthypeople.gov/,,healthypeople,gov
Federal Agency - Executive,Department of Health and Human Services,"National Heart, Lung & Blood Institute",https://www.nhlbi.nih.gov/health-topics/education-and-awareness/heart-truth,nhlbi,nih,gov
Federal Agency - Executive,Department of Health and Human Services,Health Resources and Services Administration,https://www.hrsa.gov/,,hrsa,gov
Federal Agency - Executive,Department of Health and Human Services,Indian Health Service / Office of IT,https://www.ihs.gov/,,ihs,gov
Federal Agency - Executive,Department of Health and Human Services,Centers for Medicare & Medicaid Services,https://www.insurekidsnow.gov/,,insurekidsnow,gov
Federal Agency - Executive,Department of Health and Human Services,National Library of Medicine,https://locatorplus.gov/,,locatorplus,gov
Federal Agency - Executive,Department of Health and Human Services,Department of Health and Human Services,https://longtermcare.acl.gov/,longtermcare,acl,gov
Federal Agency - Executive,Department of Health and Human Services,Centers for Medicare & Medicaid Services,https://www.medicaid.gov/,,medicaid,gov
Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,https://medicalcountermeasures.gov/,,medicalcountermeasures,gov
Federal Agency - Executive,Department of Health and Human Services,Centers for Medicare & Medicaid Services,https://www.medicare.gov/,,medicare,gov
Federal Agency - Executive,Department of Health and Human Services,National Library of Medicine,https://medlineplus.gov/,,medlineplus,gov
Federal Agency - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,https://www.mentalhealth.gov/,,mentalhealth,gov
Federal Agency - Executive,Department of Health and Human Services,National Library of Medicine,https://meshb.nlm.nih.gov,meshb.nlm,nih,gov
Federal Agency - Executive,Department of Health and Human Services,National Institutes of Health,https://www.nih.gov/,,nih,gov
Federal Agency - Executive,Department of Health and Human Services,National Library of Medicine,https://www.nlm.nih.gov/,nlm,nih,gov
Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,https://www.organdonor.gov/,,organdonor,gov
Federal Agency - Executive,Department of Health and Human Services,Assistant Secretary for Preparedness and Response,https://www.phe.gov:443/emergency/pages/default.aspx,,phe,gov
Federal Agency - Executive,Department of Health and Human Services,Program Support Center,https://psc.gov/,,psc,gov
Federal Agency - Executive,Department of Health and Human Services,National Library of Medicine,https://pubmed.ncbi.nlm.nih.gov/,pubmed.ncbi.nlm,nih,gov
Federal Agency - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,http://www.recoverymonth.gov/,,recoverymonth,gov
Federal Agency - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,https://www.samhsa.gov/,,samhsa,gov
Federal Agency - Executive,Department of Health and Human Services,Department of Health and Human Services,https://www.selectagents.gov/,,selectagents,gov
Federal Agency - Executive,Department of Health and Human Services,National Cancer Institute,https://smokefree.gov/,,smokefree,gov
Federal Agency - Executive,Department of Health and Human Services,Department of Health and Human Services,https://www.stopbullying.gov/,,stopbullying,gov
Federal Agency - Executive,Department of Health and Human Services,Department of Health and Human Services,https://therealcost.betobaccofree.hhs.gov/,therealcost.betobaccofree,hhs,gov
Federal Agency - Executive,Department of Health and Human Services,Department of Health and Human Services,https://thisfreelife.betobaccofree.hhs.gov/,thisfreelife.betobaccofree,hhs,gov
Federal Agency - Executive,Department of Health and Human Services,National Center for Advancing Translational Sciences,https://tox21.gov/,,tox21,gov
Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,https://www.usphs.gov/,,usphs,gov
Federal Agency - Executive,Department of Health and Human Services,Department of Health and Human Services,https://www.vaccines.gov/,,vaccines,gov
Federal Agency - Executive,Department of Health and Human Services,Administration for Community Living,https://whitehouseconferenceonaging.gov/,,whitehouseconferenceonaging,gov
Federal Agency - Executive,Department of Health and Human Services,"Office of Public Health and Science, Office on Women's Health",https://www.womenshealth.gov/,,womenshealth,gov
Federal Agency - Executive,Department of Homeland Security,US-VISIT,https://www.dhs.gov/biometrics,,dhs,gov
Federal Agency - Executive,Department of Homeland Security,U.S. Customs and Border Protection,https://www.cbp.gov/,,cbp,gov
Federal Agency - Executive,Department of Homeland Security,Department of Homeland Security,https://www.cisa.gov/,,cisa,gov
Federal Agency - Executive,Department of Homeland Security,United States Secret Service,https://www.cpnireporting.gov/cpni/index.xhtml;jsessionid=gU7-E2tLJ63naFgT8uXu1LHt?dswid=-6611,,cpnireporting,gov
Federal Agency - Executive,Department of Homeland Security,Federal Emergency Management Agency,https://www.disasterassistance.gov/,,disasterassistance,gov
Federal Agency - Executive,Department of Homeland Security,US Citizenship and Immigration Services,https://www.e-verify.gov/,,e-verify,gov
Federal Agency - Executive,Department of Homeland Security,U.S. Customs and Border Protection,https://www.evus.gov/,,evus,gov
Federal Agency - Executive,Department of Homeland Security,Federal Emergency Management Agency,https://www.fema.gov/,,fema,gov
Federal Agency - Executive,Department of Homeland Security,Office for Domestic Preparedness,https://www.firstrespondertraining.gov/frts/,,firstrespondertraining,gov
Federal Agency - Executive,Department of Homeland Security,Federal Law Enforcement Training Center,https://www.fleta.gov/,,fleta,gov
Federal Agency - Executive,Department of Homeland Security,Federal Law Enforcement Training Center,https://www.fletc.gov/,,fletc,gov
Federal Agency - Executive,Department of Homeland Security,"Transportation Security Administration, Credentialing Program Office",https://flightschoolcandidates.gov/,,flightschoolcandidates,gov
Federal Agency - Executive,Department of Homeland Security,Federal Emergency Management Agency,https://www.floodsmart.gov/,,floodsmart,gov
Federal Agency - Executive,Department of Homeland Security,U.S. Immigration and Customs Enforcement,https://www.ice.gov/,,ice,gov
Federal Agency - Executive,Department of Homeland Security,Office of Public Affairs,https://www.listo.gov/es,,listo,gov
Federal Agency - Executive,Department of Homeland Security,Office of the Chief Information Officer,https://www.niem.gov/,,niem,gov
Federal Agency - Executive,Department of Homeland Security,Office of Public Affairs,https://www.ready.gov/,,ready,gov
Federal Agency - Executive,Department of Homeland Security,Department of Homeland Security,https://www.schoolsafety.gov/,,schoolsafety,gov
Federal Agency - Executive,Department of Homeland Security,United States Secret Service,https://www.secretservice.gov/,,secretservice,gov
Federal Agency - Executive,Department of Homeland Security,Transportation Security Administration,https://www.tsa.gov/,,tsa,gov
Federal Agency - Executive,Department of Homeland Security,United States Computer Emergency Readiness Team,https://www.us-cert.gov/,,us-cert,gov
Federal Agency - Executive,Department of Homeland Security,US Citizenship and Immigration Services,https://www.uscis.gov/,,uscis,gov
Federal Agency - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,https://www.hud.gov,,hud,gov
Federal Agency - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,https://fha.gov/,,fha,gov
